home;away;OLBG;FST;Veikka;Rivi;prosentit 1;prosentit x;prosentit 2;;Kertoimet 1;Kertoimet x;Kertoimet 2
Aston Villa;Arsenal;;;;;33.3;26.58;40.11
;;;;;;3.0030030030030033;3.7622272385252074;2.4931438544003988
Manchester U;Bournemouth;;;;;68.75;14.9;16.34
;;;;;;1.4545454545454546;6.7114093959731544;6.119951040391677
Wolverhampton;Nottingham;;;;;52.66;27.9;19.43
;;;;;;1.8989745537409801;3.584229390681004;5.14668039114771
Sheffield U;Brentford;;;;;26.1;20.51;53.39
;;;;;;3.8314176245210727;4.875670404680643;1.8730099269526128
Brighton;Burnley;;;;;66.55;20.09;13.36
;;;;;;1.5026296018031555;4.9776007964161275;7.485029940119761
Watford;Southampton;;;;;31.68;29.73;38.59
;;;;;;3.156565656565657;3.3636057854019508;2.5913449080072555
Middlesbrough;Ipswich T;;;;;36.03;26.35;37.62
;;;;;;2.7754648903691366;3.795066413662239;2.658160552897395
Leicester;Plymouth A;;;;;73.61;13.42;12.97
;;;;;;1.3585110718652358;7.45156482861401;7.710100231303007
Norwich C;Preston;;;;;46.79;25.6;27.62
;;;;;;2.137208805300278;3.90625;3.620564808110065
Cardiff C;Millwall;;;;;53.62;23.44;22.94
;;;;;;1.864975755315181;4.266211604095563;4.359197907585004
Huddersfield;Bristol C;;;;;41.53;31.02;27.45
;;;;;;2.4078979051288227;3.2237266279819474;3.642987249544627
Rotherham;Swansea;;;;;33.1;32.2;34.69
;;;;;;3.021148036253776;3.1055900621118013;2.882675122513693
QPR;Hull;;;;;40.93;22.64;36.43
;;;;;;2.443195699975568;4.416961130742049;2.744990392533626
